ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4371.JPG,-6.49,151.6,0.155,0.81,2019-03-12 13:01:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4370.JPG,-6.78,154.78,0.142,0.847,2019-03-12 13:01:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4372.JPG,-6.98,157.07,0.134,0.873,2019-03-12 13:02:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4367.JPG,-4.44,149.31,0.283,0.548,2019-03-12 12:59:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4373.JPG,-6.84,146.05,0.14,0.855,2019-03-12 13:02:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4388.JPG,-8.14,159.07,0.095,1.021,2019-03-12 13:10:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4377.JPG,-7.22,148.56,0.125,0.904,2019-03-12 13:04:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4376.JPG,-7.33,149.08,0.121,0.918,2019-03-12 13:04:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4389.JPG,-7.46,158.32,0.117,0.933,2019-03-12 13:10:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4374.JPG,-7.07,146.27,0.131,0.884,2019-03-12 13:03:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4375.JPG,-8.07,157.51,0.097,1.012,2019-03-12 13:03:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4387.JPG,-7.47,157.87,0.116,0.936,2019-03-12 13:09:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4393.JPG,-8.09,158.33,0.097,1.015,2019-03-12 13:12:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4378.JPG,-7.27,153.38,0.123,0.91,2019-03-12 13:05:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4379.JPG,-7.37,157.27,0.12,0.922,2019-03-12 13:05:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4392.JPG,-8.09,157.46,0.097,1.014,2019-03-12 13:12:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4386.JPG,-7.27,149.87,0.123,0.91,2019-03-12 13:09:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4390.JPG,-8.38,158.58,0.089,1.051,2019-03-12 13:11:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4384.JPG,-7.34,151.17,0.121,0.919,2019-03-12 13:08:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4385.JPG,-9.41,150.58,0.066,1.183,2019-03-12 13:08:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4391.JPG,-7.23,142.32,0.124,0.905,2019-03-12 13:11:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4395.JPG,-7.32,156.75,0.121,0.917,2019-03-12 13:13:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4381.JPG,-8.6,156.12,0.083,1.08,2019-03-12 13:06:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4380.JPG,-8.28,158.99,0.091,1.039,2019-03-12 13:06:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4394.JPG,-8.17,158.17,0.095,1.024,2019-03-12 13:13:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4382.JPG,-8.32,158.2,0.091,1.043,2019-03-12 13:07:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4396.JPG,-7.29,150.66,0.122,0.913,2019-03-12 13:14:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4369.JPG,-5.97,153.28,0.181,0.743,2019-03-12 13:00:58,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4368.JPG,-5.3,140.12,0.22,0.658,2019-03-12 13:00:28,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4383.JPG,-8.16,160.36,0.095,1.023,2019-03-12 13:07:58,(1 - 4),(9 - 5),(57761 - 28880)
